#ndep: 2897
#depth (km)    Vs_arithmetic (km/s)    Vs_geometric (km/s)
   485.0           5.1573E+00              5.1572E+00
   486.0           5.1593E+00              5.1592E+00
   487.0           5.1613E+00              5.1612E+00
   488.0           5.1633E+00              5.1631E+00
   489.0           5.1653E+00              5.1651E+00
   490.0           5.1673E+00              5.1671E+00
   491.0           5.1693E+00              5.1691E+00
   492.0           5.1713E+00              5.1711E+00
   493.0           5.1733E+00              5.1731E+00
   494.0           5.1753E+00              5.1751E+00
   495.0           5.1773E+00              5.1772E+00
   496.0           5.1793E+00              5.1792E+00
   497.0           5.1813E+00              5.1812E+00
   498.0           5.1833E+00              5.1832E+00
   499.0           5.1854E+00              5.1852E+00
   500.0           5.1874E+00              5.1872E+00
   501.0           5.1894E+00              5.1892E+00
   502.0           5.1914E+00              5.1913E+00
   503.0           5.1935E+00              5.1933E+00
   504.0           5.1955E+00              5.1953E+00
   505.0           5.1975E+00              5.1974E+00
   506.0           5.1996E+00              5.1994E+00
   507.0           5.2016E+00              5.2015E+00
   508.0           5.2037E+00              5.2035E+00
   509.0           5.2057E+00              5.2056E+00
   510.0           5.2078E+00              5.2076E+00
   511.0           5.2099E+00              5.2097E+00
   512.0           5.2119E+00              5.2118E+00
   513.0           5.2140E+00              5.2139E+00
   514.0           5.2161E+00              5.2160E+00
   515.0           5.2182E+00              5.2181E+00
   516.0           5.2203E+00              5.2202E+00
   517.0           5.2224E+00              5.2223E+00
   518.0           5.2246E+00              5.2244E+00
   519.0           5.2267E+00              5.2265E+00
   520.0           5.2288E+00              5.2287E+00
   521.0           5.2310E+00              5.2308E+00
   522.0           5.2331E+00              5.2330E+00
   523.0           5.2353E+00              5.2351E+00
   524.0           5.2375E+00              5.2373E+00
   525.0           5.2397E+00              5.2395E+00
   526.0           5.2419E+00              5.2417E+00
   527.0           5.2441E+00              5.2439E+00
   528.0           5.2463E+00              5.2461E+00
   529.0           5.2485E+00              5.2484E+00
   530.0           5.2508E+00              5.2506E+00
   531.0           5.2530E+00              5.2528E+00
   532.0           5.2552E+00              5.2551E+00
   533.0           5.2575E+00              5.2573E+00
   534.0           5.2598E+00              5.2596E+00
   535.0           5.2620E+00              5.2619E+00
   536.0           5.2643E+00              5.2642E+00
   537.0           5.2666E+00              5.2664E+00
   538.0           5.2689E+00              5.2687E+00
   539.0           5.2712E+00              5.2710E+00
