#ndep: 2897
#depth (km)    Vp_arithmetic (km/s)    Vp_geometric (km/s)
   534.0           9.7336E+00              9.7335E+00
   535.0           9.7381E+00              9.7380E+00
   536.0           9.7426E+00              9.7425E+00
   537.0           9.7470E+00              9.7469E+00
   538.0           9.7515E+00              9.7514E+00
   539.0           9.7560E+00              9.7559E+00
   540.0           9.7605E+00              9.7604E+00
   541.0           9.7650E+00              9.7649E+00
   542.0           9.7695E+00              9.7694E+00
   543.0           9.7740E+00              9.7739E+00
   544.0           9.7785E+00              9.7784E+00
   545.0           9.7831E+00              9.7830E+00
   546.0           9.7876E+00              9.7875E+00
   547.0           9.7922E+00              9.7921E+00
   548.0           9.7967E+00              9.7966E+00
   549.0           9.8013E+00              9.8012E+00
   550.0           9.8059E+00              9.8058E+00
   551.0           9.8104E+00              9.8104E+00
   552.0           9.8150E+00              9.8149E+00
   553.0           9.8196E+00              9.8195E+00
   554.0           9.8242E+00              9.8241E+00
   555.0           9.8288E+00              9.8287E+00
   556.0           9.8334E+00              9.8333E+00
   557.0           9.8380E+00              9.8379E+00
   558.0           9.8427E+00              9.8426E+00
   559.0           9.8473E+00              9.8472E+00
   560.0           9.8519E+00              9.8518E+00
   561.0           9.8565E+00              9.8564E+00
   562.0           9.8612E+00              9.8611E+00
   563.0           9.8658E+00              9.8657E+00
   564.0           9.8705E+00              9.8704E+00
   565.0           9.8751E+00              9.8750E+00
   566.0           9.8798E+00              9.8797E+00
   567.0           9.8844E+00              9.8843E+00
   568.0           9.8891E+00              9.8890E+00
   569.0           9.8937E+00              9.8936E+00
   570.0           9.8984E+00              9.8983E+00
   571.0           9.9031E+00              9.9030E+00
   572.0           9.9077E+00              9.9076E+00
   573.0           9.9124E+00              9.9123E+00
   574.0           9.9171E+00              9.9170E+00
   575.0           9.9218E+00              9.9217E+00
   576.0           9.9264E+00              9.9263E+00
   577.0           9.9311E+00              9.9310E+00
   578.0           9.9358E+00              9.9357E+00
   579.0           9.9405E+00              9.9404E+00
   580.0           9.9452E+00              9.9451E+00
   581.0           9.9498E+00              9.9497E+00
   582.0           9.9545E+00              9.9544E+00
   583.0           9.9592E+00              9.9591E+00
   584.0           9.9639E+00              9.9638E+00
   585.0           9.9686E+00              9.9685E+00
   586.0           9.9733E+00              9.9731E+00
   587.0           9.9779E+00              9.9778E+00
   588.0           9.9826E+00              9.9825E+00
   589.0           9.9873E+00              9.9872E+00
   590.0           9.9920E+00              9.9919E+00
   591.0           9.9966E+00              9.9965E+00
   592.0           1.0001E+01              1.0001E+01
   593.0           1.0006E+01              1.0006E+01
   594.0           1.0011E+01              1.0011E+01
   595.0           1.0015E+01              1.0015E+01
   596.0           1.0020E+01              1.0020E+01
   597.0           1.0025E+01              1.0025E+01
   598.0           1.0029E+01              1.0029E+01
   599.0           1.0034E+01              1.0034E+01
   600.0           1.0039E+01              1.0039E+01
   601.0           1.0043E+01              1.0043E+01
   602.0           1.0048E+01              1.0048E+01
   603.0           1.0053E+01              1.0053E+01
   604.0           1.0057E+01              1.0057E+01
   605.0           1.0062E+01              1.0062E+01
   606.0           1.0067E+01              1.0066E+01
   607.0           1.0071E+01              1.0071E+01
   608.0           1.0076E+01              1.0076E+01
   609.0           1.0080E+01              1.0080E+01
   610.0           1.0085E+01              1.0085E+01
   611.0           1.0090E+01              1.0090E+01
   612.0           1.0094E+01              1.0094E+01
   613.0           1.0099E+01              1.0099E+01
   614.0           1.0103E+01              1.0103E+01
   615.0           1.0108E+01              1.0108E+01
   616.0           1.0113E+01              1.0112E+01
   617.0           1.0117E+01              1.0117E+01
   618.0           1.0122E+01              1.0122E+01
   619.0           1.0126E+01              1.0126E+01
   620.0           1.0131E+01              1.0131E+01
   621.0           1.0135E+01              1.0135E+01
   622.0           1.0140E+01              1.0140E+01
   623.0           1.0144E+01              1.0144E+01
   624.0           1.0149E+01              1.0149E+01
   625.0           1.0154E+01              1.0153E+01
   626.0           1.0158E+01              1.0158E+01
   627.0           1.0163E+01              1.0162E+01
   628.0           1.0167E+01              1.0167E+01
   629.0           1.0172E+01              1.0171E+01
   630.0           1.0176E+01              1.0176E+01
   631.0           1.0180E+01              1.0180E+01
   632.0           1.0185E+01              1.0185E+01
   633.0           1.0189E+01              1.0189E+01
   634.0           1.0194E+01              1.0194E+01
   635.0           1.0198E+01              1.0198E+01
   636.0           1.0203E+01              1.0203E+01
   637.0           1.0207E+01              1.0207E+01
   638.0           1.0211E+01              1.0211E+01
   639.0           1.0216E+01              1.0216E+01
   640.0           1.0220E+01              1.0220E+01
   641.0           1.0225E+01              1.0224E+01
   642.0           1.0229E+01              1.0229E+01
   643.0           1.0233E+01              1.0233E+01
   644.0           1.0238E+01              1.0237E+01
   645.0           1.0242E+01              1.0242E+01
   646.0           1.0246E+01              1.0246E+01
   647.0           1.0250E+01              1.0250E+01
   648.0           1.0255E+01              1.0255E+01
   649.0           1.0259E+01              1.0259E+01
