#ndep: 2897
#depth (km)    Vs_arithmetic (km/s)    Vs_geometric (km/s)
   525.0           5.2399E+00              5.2397E+00
   526.0           5.2421E+00              5.2419E+00
   527.0           5.2443E+00              5.2441E+00
   528.0           5.2465E+00              5.2464E+00
   529.0           5.2487E+00              5.2486E+00
   530.0           5.2510E+00              5.2508E+00
   531.0           5.2532E+00              5.2530E+00
   532.0           5.2554E+00              5.2553E+00
   533.0           5.2577E+00              5.2575E+00
   534.0           5.2599E+00              5.2598E+00
   535.0           5.2622E+00              5.2620E+00
   536.0           5.2644E+00              5.2643E+00
   537.0           5.2667E+00              5.2665E+00
   538.0           5.2690E+00              5.2688E+00
   539.0           5.2713E+00              5.2711E+00
   540.0           5.2736E+00              5.2734E+00
   541.0           5.2758E+00              5.2757E+00
   542.0           5.2781E+00              5.2780E+00
   543.0           5.2804E+00              5.2803E+00
   544.0           5.2828E+00              5.2826E+00
   545.0           5.2851E+00              5.2849E+00
   546.0           5.2874E+00              5.2872E+00
   547.0           5.2897E+00              5.2895E+00
   548.0           5.2921E+00              5.2919E+00
   549.0           5.2944E+00              5.2942E+00
   550.0           5.2967E+00              5.2966E+00
   551.0           5.2991E+00              5.2989E+00
   552.0           5.3014E+00              5.3013E+00
   553.0           5.3038E+00              5.3036E+00
   554.0           5.3062E+00              5.3060E+00
   555.0           5.3085E+00              5.3084E+00
   556.0           5.3109E+00              5.3107E+00
   557.0           5.3133E+00              5.3131E+00
   558.0           5.3157E+00              5.3155E+00
   559.0           5.3181E+00              5.3179E+00
   560.0           5.3205E+00              5.3203E+00
   561.0           5.3229E+00              5.3227E+00
   562.0           5.3253E+00              5.3251E+00
   563.0           5.3277E+00              5.3275E+00
   564.0           5.3301E+00              5.3299E+00
   565.0           5.3325E+00              5.3324E+00
   566.0           5.3350E+00              5.3348E+00
   567.0           5.3374E+00              5.3372E+00
   568.0           5.3398E+00              5.3397E+00
   569.0           5.3423E+00              5.3421E+00
   570.0           5.3447E+00              5.3445E+00
   571.0           5.3472E+00              5.3470E+00
   572.0           5.3496E+00              5.3495E+00
   573.0           5.3521E+00              5.3519E+00
   574.0           5.3546E+00              5.3544E+00
   575.0           5.3570E+00              5.3569E+00
   576.0           5.3595E+00              5.3593E+00
   577.0           5.3620E+00              5.3618E+00
   578.0           5.3645E+00              5.3643E+00
   579.0           5.3670E+00              5.3668E+00
   580.0           5.3695E+00              5.3693E+00
   581.0           5.3720E+00              5.3718E+00
   582.0           5.3745E+00              5.3743E+00
   583.0           5.3770E+00              5.3768E+00
   584.0           5.3795E+00              5.3793E+00
   585.0           5.3820E+00              5.3818E+00
   586.0           5.3845E+00              5.3843E+00
   587.0           5.3870E+00              5.3868E+00
   588.0           5.3895E+00              5.3894E+00
   589.0           5.3921E+00              5.3919E+00
   590.0           5.3946E+00              5.3944E+00
   591.0           5.3971E+00              5.3970E+00
   592.0           5.3997E+00              5.3995E+00
   593.0           5.4022E+00              5.4020E+00
   594.0           5.4048E+00              5.4046E+00
   595.0           5.4073E+00              5.4071E+00
   596.0           5.4099E+00              5.4097E+00
   597.0           5.4124E+00              5.4122E+00
   598.0           5.4150E+00              5.4148E+00
   599.0           5.4175E+00              5.4174E+00
   600.0           5.4201E+00              5.4199E+00
   601.0           5.4227E+00              5.4225E+00
   602.0           5.4253E+00              5.4251E+00
   603.0           5.4279E+00              5.4277E+00
   604.0           5.4304E+00              5.4303E+00
   605.0           5.4330E+00              5.4328E+00
   606.0           5.4355E+00              5.4354E+00
   607.0           5.4381E+00              5.4379E+00
   608.0           5.4406E+00              5.4404E+00
   609.0           5.4432E+00              5.4430E+00
   610.0           5.4457E+00              5.4455E+00
   611.0           5.4482E+00              5.4480E+00
   612.0           5.4508E+00              5.4506E+00
   613.0           5.4533E+00              5.4531E+00
   614.0           5.4559E+00              5.4557E+00
   615.0           5.4584E+00              5.4582E+00
   616.0           5.4610E+00              5.4608E+00
   617.0           5.4635E+00              5.4633E+00
   618.0           5.4661E+00              5.4659E+00
   619.0           5.4687E+00              5.4685E+00
   620.0           5.4713E+00              5.4711E+00
   621.0           5.4738E+00              5.4737E+00
   622.0           5.4764E+00              5.4762E+00
   623.0           5.4790E+00              5.4788E+00
   624.0           5.4816E+00              5.4814E+00
   625.0           5.4842E+00              5.4840E+00
   626.0           5.4868E+00              5.4867E+00
   627.0           5.4895E+00              5.4893E+00
   628.0           5.4921E+00              5.4919E+00
   629.0           5.4947E+00              5.4945E+00
   630.0           5.4973E+00              5.4971E+00
   631.0           5.4999E+00              5.4997E+00
   632.0           5.5025E+00              5.5023E+00
   633.0           5.5051E+00              5.5049E+00
   634.0           5.5077E+00              5.5075E+00
   635.0           5.5103E+00              5.5101E+00
   636.0           5.5129E+00              5.5126E+00
   637.0           5.5154E+00              5.5152E+00
   638.0           5.5179E+00              5.5177E+00
   639.0           5.5205E+00              5.5203E+00
   640.0           5.5230E+00              5.5228E+00
   641.0           5.5254E+00              5.5252E+00
   642.0           5.5279E+00              5.5277E+00
   643.0           5.5303E+00              5.5301E+00
   644.0           5.5326E+00              5.5325E+00
   645.0           5.5350E+00              5.5348E+00
   646.0           5.5373E+00              5.5371E+00
   647.0           5.5395E+00              5.5394E+00
   648.0           5.5417E+00              5.5416E+00
   649.0           5.5439E+00              5.5437E+00
