#ndep: 2897
#depth (km)   Rho_arithmetic (g/cm^3)   Rho_geometric (g/cm^3)
   416.0           3.7462E+00              3.7462E+00
   417.0           3.7477E+00              3.7477E+00
   418.0           3.7491E+00              3.7491E+00
   419.0           3.7506E+00              3.7506E+00
   420.0           3.7520E+00              3.7520E+00
   421.0           3.7534E+00              3.7534E+00
   422.0           3.7548E+00              3.7548E+00
   423.0           3.7563E+00              3.7563E+00
   424.0           3.7577E+00              3.7577E+00
   425.0           3.7591E+00              3.7591E+00
   426.0           3.7605E+00              3.7605E+00
   427.0           3.7619E+00              3.7619E+00
   428.0           3.7633E+00              3.7633E+00
   429.0           3.7647E+00              3.7647E+00
   430.0           3.7661E+00              3.7661E+00
   431.0           3.7675E+00              3.7675E+00
   432.0           3.7689E+00              3.7689E+00
   433.0           3.7702E+00              3.7702E+00
   434.0           3.7716E+00              3.7716E+00
   435.0           3.7730E+00              3.7730E+00
   436.0           3.7744E+00              3.7744E+00
   437.0           3.7757E+00              3.7757E+00
   438.0           3.7771E+00              3.7771E+00
   439.0           3.7785E+00              3.7785E+00
   440.0           3.7798E+00              3.7798E+00
   441.0           3.7812E+00              3.7812E+00
   442.0           3.7825E+00              3.7825E+00
   443.0           3.7839E+00              3.7839E+00
   444.0           3.7852E+00              3.7852E+00
   445.0           3.7866E+00              3.7866E+00
   446.0           3.7879E+00              3.7879E+00
   447.0           3.7892E+00              3.7892E+00
   448.0           3.7906E+00              3.7906E+00
   449.0           3.7919E+00              3.7919E+00
   450.0           3.7932E+00              3.7932E+00
   451.0           3.7946E+00              3.7946E+00
   452.0           3.7959E+00              3.7959E+00
   453.0           3.7972E+00              3.7972E+00
   454.0           3.7985E+00              3.7985E+00
   455.0           3.7998E+00              3.7998E+00
   456.0           3.8012E+00              3.8012E+00
   457.0           3.8025E+00              3.8025E+00
   458.0           3.8038E+00              3.8038E+00
   459.0           3.8051E+00              3.8051E+00
   460.0           3.8064E+00              3.8064E+00
   461.0           3.8077E+00              3.8077E+00
   462.0           3.8090E+00              3.8090E+00
   463.0           3.8103E+00              3.8103E+00
   464.0           3.8116E+00              3.8116E+00
   465.0           3.8129E+00              3.8129E+00
   466.0           3.8142E+00              3.8142E+00
   467.0           3.8155E+00              3.8155E+00
   468.0           3.8167E+00              3.8167E+00
   469.0           3.8180E+00              3.8180E+00
   470.0           3.8193E+00              3.8193E+00
   471.0           3.8206E+00              3.8206E+00
   472.0           3.8219E+00              3.8219E+00
   473.0           3.8232E+00              3.8232E+00
   474.0           3.8244E+00              3.8244E+00
   475.0           3.8257E+00              3.8257E+00
   476.0           3.8270E+00              3.8270E+00
   477.0           3.8283E+00              3.8283E+00
   478.0           3.8295E+00              3.8295E+00
   479.0           3.8308E+00              3.8308E+00
   480.0           3.8321E+00              3.8321E+00
   481.0           3.8334E+00              3.8334E+00
   482.0           3.8346E+00              3.8346E+00
   483.0           3.8359E+00              3.8359E+00
   484.0           3.8372E+00              3.8372E+00
   485.0           3.8384E+00              3.8384E+00
   486.0           3.8397E+00              3.8397E+00
   487.0           3.8410E+00              3.8410E+00
   488.0           3.8422E+00              3.8422E+00
   489.0           3.8435E+00              3.8435E+00
   490.0           3.8447E+00              3.8447E+00
   491.0           3.8460E+00              3.8460E+00
   492.0           3.8473E+00              3.8473E+00
   493.0           3.8485E+00              3.8485E+00
   494.0           3.8498E+00              3.8498E+00
   495.0           3.8510E+00              3.8510E+00
   496.0           3.8523E+00              3.8523E+00
   497.0           3.8536E+00              3.8536E+00
   498.0           3.8548E+00              3.8548E+00
   499.0           3.8561E+00              3.8561E+00
   500.0           3.8573E+00              3.8573E+00
   501.0           3.8586E+00              3.8586E+00
   502.0           3.8598E+00              3.8598E+00
   503.0           3.8611E+00              3.8611E+00
   504.0           3.8624E+00              3.8624E+00
   505.0           3.8636E+00              3.8636E+00
   506.0           3.8649E+00              3.8649E+00
   507.0           3.8661E+00              3.8661E+00
   508.0           3.8674E+00              3.8674E+00
   509.0           3.8687E+00              3.8687E+00
   510.0           3.8699E+00              3.8699E+00
   511.0           3.8712E+00              3.8712E+00
   512.0           3.8724E+00              3.8724E+00
   513.0           3.8737E+00              3.8737E+00
   514.0           3.8750E+00              3.8750E+00
   515.0           3.8762E+00              3.8762E+00
   516.0           3.8775E+00              3.8775E+00
   517.0           3.8787E+00              3.8787E+00
   518.0           3.8800E+00              3.8800E+00
   519.0           3.8813E+00              3.8813E+00
   520.0           3.8825E+00              3.8825E+00
   521.0           3.8838E+00              3.8838E+00
   522.0           3.8851E+00              3.8851E+00
   523.0           3.8863E+00              3.8863E+00
   524.0           3.8876E+00              3.8876E+00
   525.0           3.8889E+00              3.8889E+00
   526.0           3.8901E+00              3.8901E+00
   527.0           3.8914E+00              3.8914E+00
   528.0           3.8927E+00              3.8927E+00
   529.0           3.8940E+00              3.8940E+00
   530.0           3.8952E+00              3.8952E+00
   531.0           3.8965E+00              3.8965E+00
   532.0           3.8978E+00              3.8978E+00
   533.0           3.8991E+00              3.8991E+00
   534.0           3.9003E+00              3.9003E+00
   535.0           3.9016E+00              3.9016E+00
   536.0           3.9029E+00              3.9029E+00
   537.0           3.9042E+00              3.9042E+00
   538.0           3.9054E+00              3.9054E+00
   539.0           3.9067E+00              3.9067E+00
   540.0           3.9080E+00              3.9080E+00
   541.0           3.9093E+00              3.9093E+00
   542.0           3.9106E+00              3.9106E+00
   543.0           3.9118E+00              3.9118E+00
   544.0           3.9131E+00              3.9131E+00
   545.0           3.9144E+00              3.9144E+00
   546.0           3.9157E+00              3.9157E+00
   547.0           3.9170E+00              3.9170E+00
   548.0           3.9183E+00              3.9183E+00
   549.0           3.9195E+00              3.9195E+00
   550.0           3.9208E+00              3.9208E+00
   551.0           3.9221E+00              3.9221E+00
   552.0           3.9234E+00              3.9234E+00
   553.0           3.9247E+00              3.9247E+00
   554.0           3.9259E+00              3.9259E+00
   555.0           3.9272E+00              3.9272E+00
   556.0           3.9285E+00              3.9285E+00
   557.0           3.9298E+00              3.9298E+00
   558.0           3.9311E+00              3.9311E+00
   559.0           3.9323E+00              3.9323E+00
   560.0           3.9336E+00              3.9336E+00
   561.0           3.9349E+00              3.9349E+00
   562.0           3.9362E+00              3.9362E+00
   563.0           3.9374E+00              3.9374E+00
   564.0           3.9387E+00              3.9387E+00
   565.0           3.9400E+00              3.9400E+00
